fdrc2024-06-06 15:53:55,084 INFO  [Log] ****************************************************************************************
2024-06-06 15:53:55,084 INFO  [Log] **************************************************************************************** 
2024-06-06 15:53:55,086 INFO  [Log] $$$$$$$$$$$$$$$$$$$$$                 My first test case for login       $$$$$$$$$$$$$$$$$$$$$$$$$ 
2024-06-06 15:53:55,086 INFO  [Log] **************************************************************************************** 
2024-06-06 15:53:55,086 INFO  [Log] **************************************************************************************** 
2024-06-06 15:53:55,086 INFO  [Log] username has been entered 
2024-06-06 15:53:55,123 INFO  [Log] password has been entered 
2024-06-06 15:53:55,123 WARN  [Log] This might not load the page 
2024-06-06 16:00:23,371 INFO  [Log] **************************************************************************************** 
2024-06-06 16:00:23,371 INFO  [Log] **************************************************************************************** 
2024-06-06 16:00:23,372 INFO  [Log] $$$$$$$$$$$$$$$$$$$$$                 My first test case for login       $$$$$$$$$$$$$$$$$$$$$$$$$ 
2024-06-06 16:00:23,372 INFO  [Log] **************************************************************************************** 
2024-06-06 16:00:23,372 INFO  [Log] **************************************************************************************** 
2024-06-06 16:00:23,372 INFO  [Log] username has been entered 
2024-06-06 16:00:23,411 INFO  [Log] password has been entered 
2024-06-06 16:00:23,411 WARN  [Log] This might not load the page 
2024-06-06 16:46:34,882 INFO  [Log] **************************************************************************************** 
2024-06-06 16:46:34,882 INFO  [Log] **************************************************************************************** 
2024-06-06 16:46:34,882 INFO  [Log] $$$$$$$$$$$$$$$$$$$$$                 My first test case for login       $$$$$$$$$$$$$$$$$$$$$$$$$ 
2024-06-06 16:46:34,882 INFO  [Log] **************************************************************************************** 
2024-06-06 16:46:34,882 INFO  [Log] **************************************************************************************** 
2024-06-06 16:46:34,882 INFO  [Log] username has been entered 
2024-06-06 16:46:34,918 INFO  [Log] password has been entered 
2024-06-06 16:46:34,918 WARN  [Log] This might not load the page 
